Sample,Biogroup,Refgroup
C1_10,Ctrl,1
C1_11,Ctrl,1
C2_10,Ctrl,1
C2_11,Ctrl,1
C3_10,Ctrl,1
E1_10,Comp,0
E1_11,Comp,0
E2_10,Comp,0
E2_11,Comp,0
E3_10,Comp,0
