"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"PLOD2",1585.38300589044,2.29313027016009,0.150877402611819,15.1986329991371,3.61077459781318e-52,7.00273625499888e-48,1
"PFKFB3",12100.279520766,1.84164020299669,0.137955823881877,13.3494922590116,1.19259005885626e-40,1.15645458007291e-36,1
"SH3D21",2361.04230521744,1.41652067448016,0.10853094082907,13.0517681286031,6.20894790256224e-39,4.0138778540764e-35,1
"P4HA1",1349.21502733547,2.01024090038565,0.156018016524002,12.8846715602002,5.4908758723633e-38,2.66225116671534e-34,1
"SLC16A3",1379.68579019111,2.04928766544859,0.159970947026599,12.8103740306535,1.43441470227715e-37,5.56380774719262e-34,1
"STC2",800.635911765218,2.24313581706806,0.180745350564478,12.4104758991732,2.29285880607046e-35,7.41128394748841e-32,1
"PFKFB4",4197.30532124037,1.83320459540275,0.151789672448352,12.0772682741411,1.39270103076207e-33,3.85857768437138e-30,1
"SAP30-DT",294.370267478341,2.43954869611591,0.212805643991476,11.4637405773581,2.00657365105392e-30,4.86443617356747e-27,1
"KDM3A",8137.15816312407,1.53755462127654,0.141705675134195,10.8503390553729,1.98686940811569e-27,4.28148281122174e-24,1
"ANKZF1",3573.22962539514,1.33312672655965,0.130960508860892,10.1796086328262,2.44542897684794e-24,4.74266495769889e-21,1
"MAP3K6",1195.27488148949,1.27882353355389,0.126831747578341,10.0828346054602,6.57999604224205e-24,1.16011312039311e-20,1
"JUNB",1519.8705097271,1.56881765100155,0.156807065989271,10.0047637592358,1.45237920742435e-23,2.34728686239898e-20,1
"RORA",1710.05102281368,1.34990996144532,0.137019500436967,9.85195506581427,6.72234162950254e-23,1.00286995048133e-19,1
"ADM",158.263163781933,2.75667278007897,0.28056376447598,9.82547687591703,8.74591062766233e-23,1.21155850509202e-19,1
"AK4",3986.7775208801,1.34530839950293,0.142586204394042,9.43505302788706,3.90796526173556e-21,5.05273855240664e-18,1
"MAFF",519.786655783843,1.98536495994866,0.214956277032345,9.23613391224636,2.55564590857005e-20,3.09776229692547e-17,1
"SLC2A3",6701.58388556376,1.29850970927672,0.141344932647825,9.186814730119,4.04645884738157e-20,4.61629546388931e-17,1
"CLMN",968.398312134564,1.06631173206613,0.116234317675357,9.17381160221843,4.56582657036547e-20,4.9194244725371e-17,1
"IER5L",962.789164255223,1.10630896534237,0.120821984690157,9.15652038144756,5.35976772782242e-20,5.47091238491516e-17,1
"BNIP3L",11155.2957631702,1.15946504005729,0.12717039336174,9.1174133334569,7.69386803589591e-20,7.46074383440827e-17,1
"ICAM1",640.994818213801,1.51405857853988,0.167842541686311,9.0207081192179,1.86877381903155e-19,1.72585711649038e-16,1
"FUT11",2855.28388005608,1.29081061668934,0.143568664315808,8.99089381962869,2.45227877590315e-19,2.16179520817571e-16,1
