"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"Ero1a",44369.5142831232,4.05156824851543,0.196525514716258,20.615991029791,1.97241390755198e-94,3.40478088721623e-90,1
"Prkab2",2456.82257088339,2.06011460280691,0.135263351963751,15.2303973907064,2.22236599576427e-52,1.91812409094414e-48,1
"Csrnp1",11457.4465653621,2.82221986386509,0.185774386448512,15.1916521853096,4.01666636373515e-52,2.31118982569321e-48,1
"Gpr68",453.658088625827,4.39584791364606,0.295225348256477,14.8898051593699,3.83886590686265e-50,1.65666258210658e-46,1
"Garin1a",1147.80587606131,4.81476286365448,0.335492696039237,14.3513194787745,1.04529371580378e-46,3.60877202444098e-43,1
"Vegfa",27529.8417448087,2.02041366119672,0.144627489670755,13.9697761870596,2.38374582879515e-44,6.85803674944365e-41,1
"Pvr",10404.3044486225,2.28002442429905,0.164458791651225,13.8638038222633,1.0496127147922e-43,2.58834495467756e-40,1
"Plk2",4986.10186830451,1.83038540468862,0.134471280322725,13.6117199174112,3.41120468243956e-42,7.36052690353397e-39,1
"Atf3",5637.29796765224,1.68383456549856,0.125679275567603,13.3978697593051,6.22236022428957e-41,1.19344869101874e-37,1
"Klf10",1363.68308742566,2.18807525174008,0.174537826701484,12.5363956518285,4.71978497432781e-36,8.14729282268466e-33,1
"Hbegf",26086.5084140576,1.77200073544169,0.144124703861282,12.2949132797332,9.64602297266226e-35,1.51372407776451e-31,1
"Phospho1",2493.26561674882,2.39508546422878,0.197045951055932,12.1549590407414,5.39888420272621e-34,7.76629492562165e-31,1
"Hilpda",1600.23908270913,2.65186771554501,0.21894862885915,12.1118260907263,9.14355707561221e-34,1.21412370953245e-30,1
"Tpi1",51652.6106082478,1.47481731465608,0.12245054463809,12.0441874637226,2.08116967277794e-33,2.5660822065352e-30,1
"Fam162a",10034.2336977305,2.13004614769613,0.178074877047377,11.9615196877516,5.65180070739064e-33,6.50409225406514e-30,1
"Rasd2",1543.31819476215,4.48434204481236,0.383546535212096,11.6917808743405,1.40411077850815e-31,1.51486001616298e-28,1
"Ccn1",62176.2789853781,2.42563355079007,0.209849297285904,11.5589310146001,6.65318472149568e-31,6.75572203896814e-28,1
"Dusp1",10143.3667483081,2.42227912689614,0.210914315735824,11.484659627989,1.57554745677398e-30,1.51095001104625e-27,1
"Slc2a1",81042.4178371508,2.70982590491411,0.240418123042262,11.271304636372,1.81855087733288e-29,1.65220132865895e-26,1
"Ldha",39913.0987956012,1.62325250412347,0.144932323439783,11.2000723206367,4.07400782536881e-29,3.51627615407582e-26,1
"Ifrd1",11036.1815766691,1.42408346321558,0.12869767399666,11.0653395589149,1.84761767569145e-28,1.51874172941837e-25,1
"Skil",5791.93372558585,1.56442335147415,0.143189320359832,10.9255588862548,8.70031304933306e-28,6.82658199352669e-25,1
"Eno2",34363.6039047305,2.31704275341068,0.212424803566061,10.9075904250047,1.06029525532624e-27,7.95774639019196e-25,1
"Inhba",2619.14634004834,2.2523174666676,0.208812974755143,10.7862907911192,3.99593581989578e-27,2.87407683846004e-24,1
"Itga5",20334.3772927536,2.13263660296793,0.202084259258624,10.553204939325,4.90933410846129e-26,3.38979701521035e-23,1
"Slc2a3",4589.374612855,2.02356423284848,0.193944277422746,10.4337403492327,1.73904901920105e-25,1.15459477574802e-22,1
"Ccnf",613.209753620548,2.55660803072409,0.246438499975719,10.3742233091664,3.24843102607186e-25,2.07683023600194e-22,1
"Ppp1r15a",14662.1535684353,2.12222973427604,0.20634164470248,10.2850286830661,8.23175619420387e-25,5.07487769372668e-22,1
"Egln1",10930.0080575623,1.49998079177753,0.146260994958876,10.2555079171947,1.11786742119366e-24,6.65400945677415e-22,1
