Sample,Target,EqCq Mean,Adjusted EqCq Mean,Delta EqCq Mean,Delta EqCq SE,Delta Delta EqCq,RQ,RQ Min,RQ Max
A-C1,COL4A1,20.283754462336624,20.283754462336624,2.646165614659573,0.05311442179148346,0,1,0.9138527915609672,1.0942681460674681
A-C1,FOS,33.24426715254143,33.24426715254143,15.606678304864381,0.059909241226227386,0,1,0.9033815581424003,1.10695197503951
A-C1,FOSB,28.286179168744663,28.286179168744663,10.648590321067612,0.05187773705760865,0,1,0.9157716130555212,1.0919753197671702
A-C1,FOSL1,20.73132404360933,20.73132404360933,3.093735195932279,0.051124102493719285,0,1,0.9169429163417547,1.0905804300115112
A-C1,FOSL2,22.26411089157621,22.26411089157621,4.626522043899158,0.05077852337411538,0,1,0.9174805183236109,1.0899413993303813
A-C1,GAPDH,17.63758884767705,17.63758884767705,,,,,,
A-C1,IL1b,24.008298159348467,24.008298159348467,6.3707093116714155,0.05241553059004152,0,1,0.9149366860950128,1.0929718036206866
A-C1,TNF,32.21496259330965,32.21496259330965,14.577373745632599,0.15046698523197505,0,1,0.7747595566336798,1.2907230268252348
A-C2,COL4A1,20.57045322140202,20.57045322140202,2.8656435238816016,0.020634578137724457,0.2194779092220287,0.8588761952614883,0.8293374218161849,0.8894670605498707
A-C2,FOS,33.2357648116667,33.2357648116667,15.53095511414628,0.021242078128865766,-0.07572319071810085,1.0538891946205153,1.0165954635237024,1.0925510435469126
A-C2,FOSB,27.073337882337782,27.073337882337782,9.368528184817364,0.02227074485367331,-1.2800621362502476,2.4284943607374894,2.338474321415082,2.521979739578658
A-C2,FOSL1,20.890483732023704,20.890483732023704,3.185674034503286,0.013446848979564578,0.09193883857100715,0.9382609721731611,0.9171044175412663,0.959905584430045
A-C2,FOSL2,22.35121725821206,22.35121725821206,4.646407560691642,0.03755239336088752,0.019885516792484736,0.9863109688251017,0.9254500866861846,1.051174278569802
A-C2,GAPDH,17.704809697520417,17.704809697520417,,,,,,
A-C2,IL1b,24.378548551625876,24.378548551625876,6.6737388541054585,0.028811133505696807,0.303029542434043,0.8105485219067066,0.7718926649748802,0.8511402377253156
A-C2,TNF,32.31495126212175,32.31495126212175,14.610141564601335,0.10565518040331484,0.03276781896873615,0.9775430752600986,0.8171672370854206,1.1693939999323304
A-C3,COL4A1,20.652006441643135,20.652006441643135,2.953826813939628,0.012832506362899919,0.3076611992800551,0.8079504934275115,0.7905555739187478,0.8257281605060843
A-C3,FOS,32.72019835706861,32.72019835706861,15.022018729365104,0.036023496068625656,-0.5846595754992769,1.4996850754185929,1.4107997801429735,1.594170453588635
A-C3,FOSB,27.410871859004864,27.410871859004864,9.712692231301357,0.015145043873175343,-0.9358980897662548,1.9130811736690951,1.8645655313279053,1.962859183844631
A-C3,FOSL1,20.846614104484793,20.846614104484793,3.1484344767812864,0.02338676646988553,0.05469928084900744,0.9627951097336979,0.9253527651044172,1.0017524756869594
A-C3,FOSL2,22.349848161153957,22.349848161153957,4.651668533450451,0.02466432236426319,0.025146489551293172,0.982720809168267,0.942459212162764,1.0247023704677298
A-C3,GAPDH,17.698179627703507,17.698179627703507,,,,,,
A-C3,IL1b,24.916877050850545,24.916877050850545,7.218697423147038,0.006614361695951605,0.8479881114756225,0.5555589423905672,0.5493612774145789,0.5618265268398308
A-C3,TNF,32.94141547907225,32.94141547907225,15.243235851368741,0.06708575929270158,0.6658621057361422,0.6303119387705615,0.5625233760203538,0.706269565128843
A-E1,COL4A1,20.57775396920723,20.57775396920723,2.8522758611657792,0.013404903822916694,0.20611024650620635,0.8668713172304682,0.8473847881479928,0.8868059601108229
A-E1,FOS,33.27572923483397,33.27572923483397,15.550251126792517,0.03882520605515045,-0.05642717807186415,1.039887297390666,0.973616363913573,1.1106690800961676
A-E1,FOSB,26.02893221900124,26.02893221900124,8.303454110959791,0.019492419146841907,-2.345136210107821,5.081083631172392,4.915846878968305,5.2518744994730895
A-E1,FOSL1,20.82935148958689,20.82935148958689,3.1038733815454407,0.03325374348675222,0.01013818561316171,0.9929973786455255,0.9385417545876126,1.050612601066582
A-E1,FOSL2,22.380414348780526,22.380414348780526,4.654936240739076,0.04195859948627222,0.028414196839918304,0.9804974633696464,0.9131455931109698,1.0528170785986373
A-E1,GAPDH,17.72547810804145,17.72547810804145,,,,,,
