Sample,Biogroup,Refgroup
uG-C1-0218,Ctrl,1
uG-C2-0218,Ctrl,1
uG-C3-0218,Ctrl,1
uG-E1-0218,Comp,0
uG-E2-0218,Comp,0
uG-E3-0218,Comp,0
