Sample,Biogroup,Refgroup
IHA-C1-0110,Ctrl,1
IHA-C2-0110,Ctrl,1
IHA-C3-0110,Ctrl,1
IHA-E1-0110,Comp,0
IHA-E2-0110,Comp,0
IHA-E3-0110,Comp,0
IHA-C1-0111,Ctrl,1
IHA-C2-0111,Ctrl,1
IHA-E1-0111,Comp,0
IHA-E2-0111,Comp,0
