Gene_ID,C1,C2,C3,UC1,UC2,UC3
ENSG00000227775,1,1,0,0,2,0
ENSG00000290854,145,99,89,99,112,111
ENSG00000215790,0,0,0,0,0,0
ENSG00000008130,4505,3518,3649,3402,4268,4067
ENSG00000078369,35484,26865,28405,27846,32265,30217
ENSG00000231050,21,32,27,23,10,10
ENSG00000169885,8,12,22,13,16,20
ENSG00000178821,60,54,41,55,48,57
ENSG00000142609,7,3,3,4,3,2
ENSG00000233542,2,5,3,2,1,2
ENSG00000187730,11,6,7,8,9,8
ENSG00000226969,3,1,0,2,1,1
ENSG00000067606,1126,852,904,1013,1180,1022
ENSG00000271806,0,0,0,0,0,0
ENSG00000182873,71,59,65,45,78,64
ENSG00000162585,2096,1348,1480,1669,1707,1580
ENSG00000234396,2,5,4,4,7,1
ENSG00000157933,6165,4324,4028,4995,4967,4346
ENSG00000287356,54,44,43,55,71,50
ENSG00000116151,241,171,200,168,181,182
ENSG00000272161,0,0,0,0,0,0
ENSG00000269896,80,67,97,77,79,81
ENSG00000272420,8,6,14,5,10,9
ENSG00000157916,8479,6292,6837,6439,8076,7707
ENSG00000157911,1800,1336,1396,1476,1677,1589
ENSG00000149527,9,3,4,3,6,4
ENSG00000224387,0,1,0,0,0,0
ENSG00000229393,0,1,0,0,0,0
ENSG00000157881,1584,1214,1206,1281,1470,1344
ENSG00000197921,0,1,0,0,0,0
ENSG00000272449,0,0,0,0,0,0
ENSG00000238164,0,0,0,0,0,0
ENSG00000157873,21,30,15,20,13,20
ENSG00000225931,0,0,0,0,0,0
ENSG00000228037,0,0,0,0,0,0
ENSG00000289610,0,0,0,0,0,0
ENSG00000157870,460,317,314,339,429,355
ENSG00000142606,2,6,2,0,4,3
ENSG00000237058,0,0,0,0,0,0
ENSG00000215912,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0
ENSG00000287396,0,0,0,0,0,1
ENSG00000231630,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0
ENSG00000169717,1,0,0,0,0,0
ENSG00000177133,234,161,140,182,171,124
ENSG00000142611,1724,1228,1137,1195,1392,1284
ENSG00000283572,1,2,0,0,0,0
ENSG00000226286,0,0,0,0,0,0
ENSG00000279839,7,4,3,3,8,9
ENSG00000272235,37,36,35,27,36,32
