ROI,Area,Mean,Min,Max,MinThr,MaxThr
0005-0049-0579,334.73,1063.614,0,22047,0,65535
0005-0050-0604,243.459,497.743,0,8755,0,65535
0005-0051-0617,257.68,98.622,0,6758,0,65535
0005-0052-0640,162.801,717.119,0,8720,0,65535
0005-0053-0675,172.777,14.26,0,2556,0,65535
0005-0054-0674,240.912,80.963,0,6551,0,65535
0005-0055-0677,235.181,76.04,0,4623,0,65535
0005-0056-0684,289.307,95.92,0,8927,0,65535
0005-0057-0693,186.786,151.299,0,4485,0,65535
0005-0058-0705,216.078,395.755,0,6207,0,65535
0005-0059-0710,212.469,636.731,0,7205,0,65535
0005-0060-0722,227.964,26.961,0,3589,0,65535
0005-0061-0752,721.462,520.93,0,7997,0,65535
0005-0062-0739,222.021,590.088,0,6517,0,65535
0005-0063-0744,200.583,112.431,0,6103,0,65535
0005-0064-0757,183.178,74.587,0,4003,0,65535
0005-0065-0768,103.582,1.658,0,594,0,65535
0005-0066-0782,392.039,72.179,0,6551,0,65535
0005-0067-0779,212.045,242.781,0,9926,0,65535
0005-0068-0778,212.045,110.956,0,4588,0,65535
0005-0069-0800,837.355,1829.549,0,11613,0,65535
0005-0070-0804,222.658,9.253,0,2315,0,65535
0005-0071-0819,189.758,969.728,0,10098,0,65535
0005-0072-0818,268.718,120.086,0,6379,0,65535
0005-0073-0820,211.62,32.761,0,2763,0,65535
0005-0074-0877,334.305,277.964,0,6861,0,65535
0005-0075-0880,302.042,125.025,0,5931,0,65535
0005-0076-0882,191.668,9.25,0,2453,0,65535
0005-0077-0905,243.884,766.916,0,17364,0,65535
0005-0078-0926,418.147,31.053,0,5587,0,65535
0005-0079-0922,212.045,74.338,0,3107,0,65535
0005-0080-0953,254.496,106.212,0,6103,0,65535
0005-0081-0955,185.301,88.141,0,5242,0,65535
0005-0082-0963,262.35,37.125,0,4278,0,65535
0005-0083-1008,253.435,3.66,0,1248,0,65535
0005-0084-1008,262.562,1.251,0,766,0,65535
0005-0085-1015,281.878,23.529,0,3417,0,65535
0005-0086-1027,104.006,200.535,0,5931,0,65535
0006-0001-0018,237.94,123.962,0,6275,0,65535
0006-0002-0029,255.982,35.638,0,4037,0,65535
0006-0003-0021,132.661,1150.072,0,10511,0,65535
0006-0004-0096,281.453,203.1,0,10304,0,65535
0006-0005-0106,470.574,1104.613,0,8617,0,65535
0006-0006-0120,320.721,322.082,0,11303,0,65535
0006-0007-0120,273.175,41.354,0,4416,0,65535
0006-0008-0139,251.949,123.408,0,9375,0,65535
0006-0009-0147,165.985,420.187,0,15126,0,65535
0006-0010-0154,316.475,33.626,0,4657,0,65535
0006-0011-0159,161.103,2957.356,0,18948,0,65535
0006-0012-0191,341.522,486.295,0,7653,0,65535
0006-0013-0204,265.534,80.424,0,8238,0,65535
0006-0014-0248,216.502,247.695,0,12749,0,65535
0006-0015-0250,249.827,1094.398,0,10787,0,65535
